,Unnamed: 0,symbol,companyName,exchange,industry,website,CEO,sector
93,93,HBAN,"Huntington Bancshares, Inc.",NASDAQ,Regional Banks,http://www.huntington.com,Stephen D. Steinour,Finance
94,94,HII,"Huntington Ingalls Industries, Inc.",New York Stock Exchange,Aerospace & Defense,http://www.huntingtoningalls.com,C. Michael Petters,Electronic Technology
95,95,IEX,IDEX Corp.,New York Stock Exchange,Industrial Machinery,http://www.idexcorp.com,Andrew K. Silvernail,Producer Manufacturing
96,96,IDXX,"IDEXX Laboratories, Inc.",NASDAQ,Medical Specialties,http://www.idexx.com,Jonathan J. Mazelsky,Health Technology
97,97,INFO,IHS Markit Ltd.,New York Stock Exchange,Investment Managers,http://www.ihsmarkit.com,Lance Darrell Gordon Uggla,Finance
98,98,ITW,"Illinois Tool Works, Inc.",New York Stock Exchange,Industrial Machinery,http://www.itw.com,Ernest Scott Santi,Producer Manufacturing
99,99,ILMN,"Illumina, Inc.",NASDAQ,Biotechnology,http://www.illumina.com,Francis A. deSouza,Health Technology
0,0,INCY,Incyte Corp.,NASDAQ,Biotechnology,http://www.incyte.com,Hervé Hoppenot,Health Technology
1,1,IR,"Ingersoll Rand, Inc.",New York Stock Exchange,Industrial Machinery,http://www.irco.com,Vicente Reynal,Producer Manufacturing
2,2,INTC,Intel Corp.,NASDAQ,Semiconductors,http://www.intel.com,Robert Holmes Swan,Electronic Technology
3,3,ICE,"Intercontinental Exchange, Inc.",New York Stock Exchange,Investment Banks/Brokers,http://www.intercontinentalexchange.com,Jeffrey Craig Sprecher,Finance
4,4,IBM,International Business Machines Corp.,New York Stock Exchange,Information Technology Services,http://www.ibm.com,Virginia M. Rometty,Technology Services
5,5,IP,International Paper Co.,New York Stock Exchange,Containers/Packaging,http://www.internationalpaper.com,Mark S. Sutton,Process Industries
6,6,IPG,"Interpublic Group of Cos., Inc.",New York Stock Exchange,Advertising/Marketing Services,http://www.interpublic.com,Michael Isor Roth,Commercial Services
7,7,IFF,"International Flavors & Fragrances, Inc.",New York Stock Exchange,Household/Personal Care,http://www.iff.com,Andreas Fibig,Consumer Non-Durables
8,8,INTU,"Intuit, Inc.",NASDAQ,Packaged Software,http://www.intuit.com,Sasan K. Goodarzi,Technology Services
9,9,ISRG,"Intuitive Surgical, Inc.",NASDAQ,Medical Specialties,http://www.intuitive.com,Gary S. Guthart,Health Technology
